Date:,Title:,Year:,Director:,Rating: ,,,
12/21/19,Baby Driver,2017,Edgar Wright,2,,,
12/21/19,Spirited Away,2001,Hayao Miyazaki,3.5,,,
12/21/19,King Kong,2005,Peter Jackson,3.5,,,
12/23/19,The Prince of Egypt,1998,"Brenda Chapman, Simon Wells, Steve Hickner",2.5,,,
12/23/19,Into the Wild,2007,Sean Penn,3,,,
12/24/19,Fantasia 2000,1999,"Eric Goldberg, James Algar, Don Hahn, Gaëtan Brizzi, Hendel Butoy, Pixote Hunt, Francis Glebas, Paul Brizzi",3,,,
12/24/19,Who Framed Roger Rabbit,1988,Robert Zemeckis,3,,,
12/25/19,To Kill a Mockingbird,1962,Robert Mulligan,3,,,
12/25/19,Silver Linings Playbook,2012,David Russell,2,,,
12/26/19,Paprika,2006,Satoshi Kon,2,,,
12/26/19,Perfect Blue,1997,Satoshi Kon,4,,,
12/27/19,Almost Famous,2000,Cameron Crowe,3.5,,,
12/28/19,Spirit: Stallion of the Cimarron,2002,"Kelly Asbury, Lorna Cook",3.5,,,
12/28/19,Suspiria,2018,Luca Guadagnino,2.5,,,
12/29/19,Memories of Murder,2003,Bong Joon Ho,4,,,
12/29/19,The Last Samurai,2003,Edward Zwick,3,,,
12/30/19,Moana,2016,"Ron Clements, John Musker",1.5,,,
1/1/20,Guardians of the Galaxy,2014,James Gunn,2.5,,,
1/1/20,Star Wars: Episode IV - A New Hope,1977,George Lucas,3.5,,,
1/2/20,Kiki's Delivery Service,1989,Hayao Miyazaki,3.5,,,
1/3/20,Free Solo,2018,"Jimmy Chin, Elizabeth Chai Vasarhelyi",3,,,
1/3/20,The Little Mermad,1989,"Ron Clements, John Musker",3,,,
1/3/20,Toy Story,1995,John Lasseter,3.5,,,
1/4/20,Star Wars: Episode V – The Empire Strikes Back,1980,Irvin Kershner,2.5,,,
1/5/20,It Happened One Night,1934,Frank Capra,3,,,
1/6/20,Tangerine,2015,Sean Baker,4,,,
1/8/20,The Last Picture Show,1971,Peter Bogdanovich,3,,,
1/9/20,The Plague Dogs,1982,"Martin Rosen, John Hubley",3,,,
1/11/20,Skyfall,2012,Sam Mendes,3.5,,,
1/11/20,Ex Machina,2014,Alex Garland,3.5,,,
1/12/20,First Reformed,2017,Paul Schrader,2.5,,,
1/13/20,The Discrete Charm of the Bourgeoisie,1972,Luis Buñuel,2.5,,,
1/15/20,Mr. Smith Goes to Washington,1939,Frank Capra,2,,,
1/17/20,Minority Report,2002,Steven Spielberg,1.5,,,
1/18/20,Invasion of the Body Snatchers,1978,Philip Kaufman,2.5,,,
1/21/20,A Fistful of Dollars,1964,Sergio Leone,2,,,
1/23/20,The Help,2011,Tate Taylor,3.5,,,
1/25/20,Mother!,2017,Darren Aronofsky,2,,,
1/26/20,1917,2019,Sam Mendes,4.5,,,
1/28/20,Snatch,2000,Guy Ritchie,3,,,
1/29/20,Gone With the Wind,1939,Victor Fleming,3.5,,,
1/30/20,For a Few Dollars More,1965,Sergio Leone,2.5,,,
2/1/20,The Revenant,2015,Alejandro González Iñárritu,4.5,,,
2/2/20,Moonstruck,1987,Norman Jewison,2.5,,,
2/5/20,Batman,1989,Tim Burton,2.5,,,
2/6/20,The Royal Tenenbaums,2001,Wes Anderson,3.5,,,
2/9/20,Serpico,1973,Sidney Lumet,2.5,,,
2/12/20,The Passion of Christ,2004,Mel Gibson,2,,,
2/14/19,Midnight in Paris,2011,Woody Allen,2.5,,,
2/15/20,Before Sunrise,1995,Richard Linklater,2.5,,,
2/16/20,Ace Ventura: Pet Detective,1994,Tom Shadyac,1.5,,,
2/18/20,Total Recall,1990,Paul Verhoeven,2.5,,,
2/20/20,The General,1926,"Buster Keaton, Clyde Bruckman",3,,,
2/21/20,The Cabin in the Woods,2011,Drew Goddard,3.5,,,
2/22/20,The Death of Stalin,2017,Armando Iannucci,3.5,,,
2/22/20,The Ring,2002,Gore Verbinski,3,,,
2/22/20,Raise the Red Lantern,1991,Zhang Yimou,5,,,
2/23/20,Chicken Run,2000,"Nick Park, Peter Lord",2.5,,,
2/24/20,Before Sunset,2004,Richard Linklater,3,,,
2/24/20,Marriage Story,2019,Noah Baumbach,3.5,,,
2/26/20,"Planes, Trains and Automobiles",1987,John Hughes,3,,,
3/1/20,The Pianist,2002,Roman Polanski,3,,,
3/1/20,The Karate Kid,1984,John G Avildsen,3,,,
3/2/20,"I, Tonya",2017,Craig Gillespie,2.5,,,
3/3/20,Bone Tomahawk,2015,S. Craig Zahler,3,,,
3/3/20,A Quiet Place,2018,John Krasinski,1.5,,,
3/4/20,The Intouchables,2011,"Olivier Nakache, Éric Toledano",3,,,
3/4/20,Frances Ha,2012,Noah Baumbach,3,,,
3/5/20,Dead Poets Society,1989,Peter Weir,3,,,
3/5/20,"Food, Inc.",2008,Robert Kenner,3,,,
3/6/20,Fahrenheit 9/11,2004,Michael Moore,2.5,,,
3/6/20,Super Size Me,2004,Morgan Spurlock,3,,,
3/7/20,In the Heat of the Night,1967,Norman Jewison,3.5,,,
3/7/20,Mad Max: Fury Road,2015,George Miller,4.5,,,
3/9/20,Downfall,2004,Oliver Hirschbiegel,2,,,
3/9/20,The Babadook,2014,Jennifer Kent,3,,,
3/10/20,Kramer vs. Kramer,1979,Robert Benton,3,,,
3/11/20,Embrace of the Serpent,2015,Ciro Guerra,2.5,,,
3/12/20,Inglourious Basterds,2009,Quentin Tarantino,3.5,,,
3/13/20,Uncut Gems,2019,"Josh Safdie, Benny Safdie",4.5,,,
3/13/20,You Were Never Really Here,2017,Lynne Ramsay,3,,,
3/15/20,Rear Window,1954,Alfred Hitchcock,3.5,,,
3/15/20,Natural Born Killers,1994,Oliver Stone,3.5,,,
3/16/20,The Lion King,2019,Jon Favreau,3,,,
3/16/20,Brave,2012,"Brenda Chapman, Mark Andrews",3,,,
3/17/20,Toy Story 3,2010,Lee Unkrich  ,3.5,,,
3/18/20,Jojo Rabbit,2019,Taika Waititi,3,,,
3/18/20,Psycho,1960,Alfred Hitchcock,4,,,
3/19/20,Pride and Prejudice,2005,Joe Wright,4,,,
3/20/20,The Conversation,1974,Francis Ford Coppola,2,,,
3/20/20,The Breakfast Club,1985,John Hughes,1.5,,,
3/21/20,The Birds,1963,Alfred Hitchcock,2,,,
3/21/20,The New World,2005,Terrence Malick,4,,,
3/22/20,Casino,1995,Martin Scorsese,4,,,
3/22/20,Elizabeth,1998,Shekhar Kapur,2.5,,,
3/23/20,My Neighbor Totoro,1988,Hayao Miyazaki,3.5,,,
3/23/20,Forrest Gump,1994,Robert Zemeckis,4.5,,,
3/24/20,Eighth Grade,2018,Bo Burnham,3,,,
3/24/20,Hot Fuzz,2007,Edgar Wright,2,,,
3/25/20,Army of Darkness,1992,Sam Raimi,1,,,
3/25/20,Dazed and Confused,1993,Richard Linklater,3.5,,,
3/26/20,8 Mile,2002,Curtis Hanson,1.5,,,
3/26/20,Scarface,1983,Brain De Palma,3,,,
3/27/20,Wreck-It Ralph,2012,Rich Moore,3.5,,,
3/27/20,Dances With Wolves,1990,Kevin Costner,4,,,
3/28/20,Moneyball,2011,Bennett Miller,2.5,,,
3/29/20,Vertigo,1958,Alfred Hitchcock,3,,,
3/29/20,Ernest and Celestine,2012,"Benjamin Renner, Vincent Patar, Stéphane Aubier",2,,,
3/30/20,"O' Brother, Where Art Thou?",2000,"Ethan Coen, Joel Coen",3,,,
3/30/20,Master and Commander: The Far Side of the World,2003,Peter Weir,2.5,,,
3/30/20,The Fly,1986,David Cronenberg,3.5,,,
3/31/20,Little Big Man,1970,Arthur Penn,2,,,
3/31/20,Saturday Night Fever,1977,John Badham,1.5,,,
4/1/20,Born on the Fourth of July,1989,Oliver Stone,3,,,
4/2/20,Alice in Wonderland,2010,Tim Burton,2,,,
4/2/20,The Blues Brothers,1980,John Landis,1.5,,,
4/2/20,Manhattan,1979,Woody Allen,3.5,,,
4/2/20,Red Sorghum,1987,Zhang Yimou,3.5,,,
4/3/20,Sideways,2004,Alexander Payne,3,,,
4/3/20,The Untouchables,1987,Brian De Palma,2,,,
4/4/20,21 Jump Street,2012,"Phil Lord, Chris Miller",1.5,,,
4/5/20,Once Upon a Time in the West,1968,Sergio Leone,2,,,
4/5/20,Cloverfield,2008,Matt Reeves,3,,,
4/6/20,To Catch a Thief,1955,Alfred Hitchcock,3,,,
4/7/20,The Man Who Fell to Earth,1976,Nicolas Roeg,2,,,
4/7/20,The Assassin,2015,Hou Hsiao-Hsien,2,,,
4/9/20,Spider-Man,2002,Sam Raimi,1.5,,,
4/10/20,Lost Highway,1997,David Lynch,3.5,,,
4/10/20,The Girl with the Dragon Tattoo,2011,David Fincher,3.5,,,
4/11/20,Spring Breakers,2012,Harmony Korine,3,,,
4/11/20,Good Time,2017,"Josh Safdie, Benny Safdie",3,,,
4/12/20,Nebraska,2013,Alexander Payne,3.5,,,
4/12/20,National Treasure,2004,Jon Turteltaub,2.5,,,
4/13/20,Bram Stoker's Dracula,1992,Francis Ford Coppola,3,,,
4/15/20,The Big Short,2015,Adam McKay,1.5,,,
4/16/20,Murder on the Orient Express,1974,Sidney Lumet,3,,,
4/17/20,Train to Busan,2015,Yeon Sang-ho,1.5,,,
4/17/20,Ferris Bueller's Day Off,1986,John Hughes,1.5,,,
4/19/20,Burning,2018,Chang-dong Lee,2.5,,,
4/20/20,Intolerance: Love's Struggle Throughout the Ages,1916,D. W. Griffith,2,,,
4/21/20,The Phantom Carriage,1921,Victor Sjöström,2,,,
4/21/20,Blade Runner,1982,Ridley Scott,4,,,
4/22/20,"Girl, Interrupted",1999,James Mangold,2.5,,,
4/23/20,Sunrise: A Song of Two Humans,1927,F. W. Murnau,3.5,,,
4/23/20,Shaun the Sheep Movie,2015,"Richard Starzak, Mark Burton",4,,,
4/24/20,Prisoners,2013,Denis Villeneuve,5,,,
4/25/20,Holy Motors,2012,Leos Carax,1.5,,,
4/26/20,Candyman,1992,Bernard Rose,2.5,,,
4/27/20,Häxan,1922,Benjamin Christensen,3,,,
4/28/20,Sherlock Jr.,1924,Buster Keaton,4,,,
4/28/20,Dial M For Murder,1954,Alfred Hitchcock,2,,,
4/28/20,Ghostbusters,1984,Ivan Reitman,1.5,,,
4/29/20,Empire of the Sun,1987,Steven Spielberg,2,,,
4/30/20,Picnic at Hanging Rock,1975,Peter Weir,3,,,
4/31/2020,Room,2015,Lenny Abrahamson,3.5,,,
5/1/20,Don't Look Now,1973,Nicolas Roeg,2.5,,,
5/2/20,Only God Forgives,2013,Nicolas Winding Refn,3.5,,,
5/2/20,American Graffiti,1973,George Lucas,2.5,,,
5/3/20,Un Chien Andalou,1929,Luis Buñuel,2.5,,,
5/4/20,Charade,1963,Stanley Donen,3,,,
5/4/20,What We Do in the Shadows,2014,"Taika Waititi, Jemaine Clement",4,,,
5/5/20,Terms of Endearment,1983,James L. Brooks,2.5,,,
5/7/20,My Darling Clementine,1946,John Ford,2.5,,,
5/7/20,Swiss Army Man,2016,"Daniel Kwan, Daniel Scheinert",1,,,
5/8/20,The Last Temptation of Christ,1988,Martin Scorsese,2.5,,,
5/8/20,Before Midnight,2013,Richard Linklater,3,,,
5/12/20,Russian Ark,2002,Alexander Sokurov,1.5,,,
5/13/20,Boyz n the Hood,1991,John Singleton,2.5,,,
5/15/20,Dallas Buyers Club,2013,Jean-Marc Vallée,3,,,
5/17/20,North By Northwest,1959,Alfred Hitchcock,2.5,,,
5/18/20,Repulsion,1965,Roman Polanski,3,,,
5/19/20,Deep Red,1975,Dario Argento,3,,,
5/21/20,Cinema Paradiso,1988,Giuseppe Tornatore,3,,,
5/22/20,A Girl Walks Home Alone at Night,2014,Ana Lily Amirpour,3,,,
5/23/20,Hostiles,2017,Scott Cooper,3.5,,,
5/24/20,Hero,2002,Zhang Yimou,1.5,,,
5/25/20,Babel,2006,Alejandro González Iñárritu,3,,,
5/26/20,The Umbrellas of Cherbourg,1964,Jacques Demy,2.5,,,
5/28/20,Vagabond,1985,Agnès Varda,3.5,,,
5/29/20,Ugetsu,1953,Kenji Mizoguchi,3.5,,,
5/29/20,Ace in the Hole,1951,Billy Wilder,3,,,
5/31/20,Grey Gardens,1975,"Albert Maysles, David Maysles, Ellen Hovde, Muffie Meyer",2.5,,,
6/3/20,Yojimbo,1961,Akira Kurosawa,3,,,
6/4/20,Cleo From 5 to 7,1962,Agnès Varda,3.5,,,
6/4/20,Under the Silver Lake,2018,David Robert Mitchell,2,,,
6/5/20,The Marriage of Maria Braun,1978,Rainer Werner Fassbinder,2,,,
6/5/20,Beauty and the Beast,1946,Jean Cocteau,3,,,
6/6/20,House,1977,Nobuhiko Obayashi,4,,,
6/6/20,The Spirit of the Beehive,1973,Víctor Erice,2,,,
6/7/20,Throne of Blood,1957,Akira Kurosawa,3,,,
6/8/20,Come and See,1985,Elem Klimov,4.5,,,
6/8/20,The Age of Innocence,1993,Martin Scorsese,3,,,
6/10/20,Anatomy of a Murder,1959,Otto Preminger,3,,,
6/10/20,Echo in the Canyon,2018,Andrew Slater,2.5,,,
6/10/20,La Haine,1995,Mathieu Kassovitz,3,,,
6/10/20,Shoplifters,2018,Hirokazu Koreeda,3.5,,,
6/11/20,To Be or Not To Be,1942,Ernst Lubitsch,3,,,
6/12/20,Willy Wonka & the Chocolate Factory,1971,Mel Stuart,2,,,
6/13/20,Close-Up,1990,Abbas Kiarostami,2.5,,,
6/13/20,Django Unchained,2012,Quentin Tarantino,3.5,,,
6/15/20,Uncle Boonmee Who Can Recall His Past Lives,2010,Apichatpong Weerasethakul,2,,,
6/16/20,Cronos,1993,Guillermo Del Toro,3,,,
6/20/20,The Life and Death of Colonel Blimp,1943,"Michael Powell, Emeric Pressburger",2,,,
6/22/20,Sans Soleil,1983,Chris Marker,2.5,,,
6/23/20,Mirror,1974,Andrei Tarkovsky,2,,,
6/25/20,Pierrot le Fou,1965,Jean-Luc Godard,3.5,,,
6/27/20,Hiroshima mon amour,1959,Alain Resnais,3.5,,,
6/27/20,Ponyo,2008,Hayao Miyazaki,3,,,
6/27/20,The 101 Dalmations,1961,"Wolfgang Reitherman, Clyde Geronimi, Hamilton Luske",4.5,,,
6/27/20,The Lighthouse,2019,Robert Eggers,4,,,
6/29/20,The Stagecoach,1939,John Ford,2.5,,,
7/2/20,A Brighter Summer Day,1991,Edward Yang,2,,,
7/2/20,Fruitvale Station,2013,Ryan Coogler,3,,,
7/3/20,And the Whole Sky Fit in the Dead Cow's Eye,2016,Francisca Alegria,2.5,,,
7/3/20,The Maltese Falcon,1941,John Huston,2.5,,,
7/4/20,It Follows,2014,It Follows,2,,,
7/6/20,The Irishman,2019,Martin Scorsese,2,,,
7/7/20,The Diving Bell and the Butterfly,2007,Julian Schnabel,3,,,
7/7/20,Sleepless in Seattle,1993,Nora Ephron,2.5,,,
7/9/20,Nosferatu the Vampyre,1979,Werner Herzog,2.5,,,
7/11/20,Rebecca,1940,Alfred Hitchcock,3,,,
7/12/20,Rushmore,1998,Wes Anderson,1.5,,,
7/13/20,Long Day's Journey Into Night,2019,Bi Gan,2,,,
7/15/20,Zero Dark Thirty,2012,Kathryn Bigelow,3.5,,,
7/16/20,The Lady Eve,1941,Preston Sturges,3.5,,,
7/18/20,Life of Pi,2012,Ang Lee,3,,,
7/19/20,The Life Aquatic with Steve Zissou,2004,Wes Anderson,2.5,,,
7/21/20,All Quiet on the Western Front,1930,Lewis Milestone,3.5,,,
7/23/20,War Horse,2011,Steven Spielberg,1.5,,,
7/23/20,The Others,2001,Alejandro Amenábar,2,,,
7/24/20,Catch Me If You Can,2002,Steven Spielberg,3.5,,,
7/25/20,The Bride of Frankenstein,1935,James Whale,3,,,
7/25/20,Apocalypto,2006,Mel Gibson,3.5,,,
7/26/20,The Hills Have Eyes,1977,Wes Craven,3,,,
7/28/20,2046,2004,Wong Kar-wai,2.5,,,
7/30/20,The Mummy,1999,Stephen Sommers,2.5,,,
7/30/20,Knives Out,2019,Rian Johnson,3.5,,,
8/1/20,Spartacus,1960,Stanley Kubrick,3,,,
8/3/20,Phantom Thread,2017,Paul Thomas Anderson,3,,,
8/4/20,Dracula,1931,"Tod Browning, Karl Freund",2,,,
8/4/20,Lion,2016,Garth Davis,3.5,,,
8/5/20,Cube,1997,Vincenzo Natali,3.5,,,
8/5/20,The Notebook,2004,Nick Cassavetes,2.5,,,
8/6/20,Marie Antoinette,2006,Sofia Coppola,3.5,,,
8/7/20,Ralph Breaks the Internet,2018,"Rich Moore, Phil Johnston",2,,,
8/7/20,The Red Turtle,2016,Michaël Dudok de Wit,3.5,,,
8/8/20,The Sting,1973,George Roy Hill,2.5,,,
8/9/20,The Bourne Identity,2002,Doug Liman,2.5,,,
8/10/20,Jodorowsky's Dune,2013,Frank Pavich,4,,,
8/11/20,The Way Back,2010,Peter Weir,3,,,
8/12/20,The Hateful Eight,2015,Quentin Tarantino,4,,,
8/12/20,Butch Cassidy and the Sundance Kid,1969,George Roy Hill,2.5,,,
8/13/20,"The Cook, the Thief, His Wife & Her Lover",1989,Peter Greenaway,3,,,
8/14/20,Frida,2002,Julie Taymor,2.5,,,
8/14/20,The Bourne Ultimatum,2007,Paul Greengrass,2,,,
8/15/20,Sullivan's Travels,1941,Preston Sturges,2,,,
8/15/20,Tucker & Dale vs. Evil,2010,Eli Craig,2.5,,,
8/17/20,Clerks,1994,Kevin Smith,2.5,,,
8/18/20,Beetlejuice,1988,Tim Burton,1.5,,,
8/20/20,Lost Soul: The Doomed Journey of Richard Stanley's Island of Dr. Moreau,2014,David Gregory,3.5,,,
8/20/20,The Outsiders,1983,Francis Ford Coppola,2.5,,,
8/21/20,Bronson,2008,Nicolas Winding Refn,3.5,,,
8/22/20,Portrait of a Lady on Fire,2019,Céline Sciamma,4,,,
8/22/20,The Bird with the Crystal Plumage,1970,Dario Argento,1.5,,,
8/23/20,Top Gun,1986,Tony Scott,2,,,
8/24/20,The Golden Compass,2007,Chris Weitz,2,,,
8/25/20,Henry: Portrait of a Serial Killer,1986,John McNaughton,3,,,
8/26/20,Detour,1945,Edgar G. Ulmer,3.5,,,
8/27/20,Winter's Bone,2010,Debra Granik,3,,,
8/28/20,Gone Girl,2014,David Fincher,2.5,,,
8/29/20,Marathon Man,1976,John Schlesinger,2.5,,,
8/29/20,Primer,2004,Shane Carruth,1,,,
8/30/20,Starship Troopers,1997,Paul Verhoeven,3.5,,,
9/1/20,Les Misérables,2012,Tom Hooper,1.5,,,
9/1/20,Tenet,2020,Christopher Nolan,2.5,,,
9/2/20,Casino Royale,2006,Martin Campbell,3.5,,,
9/4/20,Prometheus,2012,Ridley Scott,4,,,
9/4/20,Star Trek,2009,J.J. Abrams,1.5,,,
9/4/20,Harley Quinn: Birds of Prey,2020,Cathy Yan,1.5,,,
9/5/20,Requiem For a Dream,2000,Darren Aronofsky,4,,,
9/5/20,Team America: World Police,2004,Trey Parker,3,,,
9/5/20,Dune,1984,David Lynch,1.5,,,
9/6/20,The Philadelphia Story,1940,George Cukor,3,,,
9/6/20,Ocean's Eleven,2001,Steven Soderbergh,4,,,
9/8/20,The Wild Bunch,1969,Sam Peckinpah,1.5,,,
9/8/20,A Streetcar Named Desire,1951,Elia Kazan,4.5,,,
9/8/20,Rebel Without a Cause,1955,Nicholas Ray,1.5,,,
9/9/20,Bringing Up Baby,1938,Howard Hawks,1,,,
9/9/20,The Treasure of the Sierra Madre,1948,John Huston,4,,,
9/9/20,A Hidden Life,2019,Terrence Malick,3.5,,,
9/10/20,Moulin Rouge!,2001,Baz Luhrmann,2.5,,,
9/10/20,Princess Mononoke,1997,Hayao Miyazaki,5,,,
9/11/20,Zombieland,2009,Ruben Fleischer,1.5,,,
9/12/20,If Beale Street Could Talk,2018,Barry Jenkins,3,,,
9/13/20,The Dark Knight Rises,2012,Christopher Nolan,3.5,,,
9/13/20,L'Avventura,1960,Michelangelo Antonioni,2.5,,,
9/13/20,All That Jazz,1979,Bob Fosse,2,,,
9/13/20,Grave of the Fireflies,1988,Isao Takahata,4.5,,,
9/13/20,Neon Demon,2016,Nicolas Winding Refn,3.5,,,
9/15/20,The Hunger Games: Catching Fire,2013,Francis Lawrence,2.5,,,
9/16/20,Watchmen,1009,Zack Snyder,3,,,
9/16/20,Sophie's Choice,1982,Alan J. Pakula,1.5,,,
9/17/20,The Color Purple,1985,Steven Spielberg,2.5,,,
9/18/20,Heat,1995,Michael Mann,3,,,
9/19/20,Floating Weeds,1959,Yasujirō Ozu,3,,,
9/20/20,Kick-Ass,2010,Matthew Vaughn,2.5,,,
9/21/20,Alien: Covenant,2017,Ridley Scott,2.5,,,
9/26/20,John Wick: Chapter 2,2017,Chad Stahelski,3,,,
9/26/20,Toy Story 2,1999,John Lasseter,3,,,
9/27/20,The King,2019,David Michôd,3.5,,,
9/29/20,Ordinary People,1980,Robert Redford,1.5,,,
10/2/20,A Royal Affair,2012,Nikolaj Arcel,2.5,,,
10/5/20,The Killing of a Sacred Deer,2017,Yorgos Lanthimos,2,,,
10/5/20,Quantum of Solace,2008,Marc Forster,2,,,
10/6/20,La Souriante Madame Beudet,1923,Germaine Dulac,2.5,,,
10/8/20,L'Age d'Or,1930,Luis Buñuel,3,,,
10/9/20,Harry Potter and the Sorcerer's Stone,2001,Chris Columbus,3,,,
10/9/20,Harry Potter and the Prisoner of Azkaban,2004,Alfonso Cuarón,3,,,
10/10/20,Mandy,2018,Panos Cosmatos,2.5,,,
10/13/20,Under the Roofs of Paris,1930,René Clair,2,,,
10/15/20,La Bête Humaine,1938,Jean Renoir,2.5,,,
10/18/20,Harry Potter and the Chamber of Secrets,2002,Chris Columbus,2,,,
10/19/20,Videodrome,1983,David Cronenberg,3,,,
10/20/20,Creep,2014,Patrick Kack-Brice,3,,,
10/22/20,Children of Paradise,1945,Marcel Carné,3.5,,,
10/22/20,Borat,2006,Larry Charles,3.5,,,
10/24/20,Wind River,2017,Taylor Sheridan,2.5,,,
10/26/20,Harry Potter and the Goblet of Fire,2005,Mike Newell,3.5,,,
10/28/20,Monty Python and the Holy Grail,1975,"Terry Gilliam, Terry Jones",4,,,
10/29/20,Monsieur Hulot's Holiday,1953,Jacques Tati,3,,,
10/29/20,Harry Potter and the Order of the Phoenix,2007,David Yates,3.5,,,
10/31/20,Harry Potter and the Half-Blood Prince,2009,David Yates,3,,,
11/2/20,Blue Valentine,2010,Derek Cianfrance,3,,,
11/3/20,Pickpocket,1959,Robert Bresson,1.5,,,
11/7/20,Borat Subsequent Moviefilm,2020,Jason Woliner,3.5,,,
11/10/20,Fallen Angels,1995,Wong Kar-wai,4,,,
11/12/20,Elevator to the Gallows,1958,Louis Malle,3.5,,,
11/14/20,The Fifth Element,1997,Luc Besson,1.5,,,
11/16/20,Rise of the Planet of the Apes,2011,Rupert Wyatt,2,,,
11/22/20,Birdman,2014,Alejandro González Iñárritu,3,,,
11/24/20,Full Moon in Paris,1984,Éric Rohmer,1.5,,,
11/30/20,Jules and Jim,1962,François Truffaut,3.5,,,
12/1/20,Diva,1981,Jean-Jacques Beineix,3,,,
12/3/20,Under the Sand,2000,François Ozon,3,,,
12/4/20,Meek's Cutoff,2010,Kelly Reichardt,2.5,,,
12/6/20,Argo,2012,Ben Affleck,2.5,,,
12/7/20,The City of Lost Children,1995,"Jean-Pierre Jeunet, Marc Caro",1,,,
12/9/20,Begin Again,2013,John Carney,3,,,
12/12/20,Selma,2014,Ava DuVernay,3,,,
12/16/20,Das Boot,1981,Wolfgang Petersen,2.5,,,
12/16/20,Home Alone,1990,Chris Columbus,2.5,,,
12/17/20,Gentlemen Prefer Blondes,1953,Howard Hawks,3.5,,,
12/20/20,An American in Paris,1951,Vincente Minnelli,3,,,
12/22/20,Out of Africa,1985,Sydney Pollack,2.5,,,
12/22/20,Emma,2020,Autumn de Wilde,2.5,,,
12/24/20,The Fountain,2006,Darren Aronofsky,1.5,,,
12/24/20,Showgirls,1995,Paul Verhoeven,3.5,,,
12/25/20,Bullitt,1968,Peter Yates,1.5,,,
12/27/20,Who's Afraid of Virginia Woolf?,1966,Mike Nichols,3,,,
12/27/20,Black Orpheus,1959,Marcel Camus,3.5,,,
12/29/20,The Desolation of Smaug,2013,Peter Jackson,1.5,,,
12/30/20,American Hustle,2013,David O. Russell,2,,,
12/31/20,Gran Torino,2008,Clint Eastwood,2,,,
1/1/21,Tales of Earthsea,2006,Gorō Miyazaki,1.5,,,
1/2/21,Cast Away,2000,Cast Away,3.5,,,
1/4/21,THX 1138,1971,George Lucas,1.5,,,
1/5/21,The Lego Movie,2014,"Chris Miller, Phil Lord",1,,,
1/16/21,Atomic Blonde,2017,David Leitch,2,,,
1/17/21,Dead Man,1995,Jim Jarmusch,2,,,
1/19/21,From Up on Poppy Hill,2011,Gorō Miyazaki,3.5,,,
1/24/21,East of Eden,1955,Elia Kazan,2.5,,,
1/30/21,The King of Comedy,1982,Martin Scorsese,4,,,
1/30/21,The Place Beyond the Pines,2012,Derek Cianfrance,2,,,
2/1/21,Whisper of the Heart,1995,Yoshifumi Kondō,3,,,
2/4/21,3:10 to Yuma,2007,James Mangold,3,,,
2/7/21,Pather Panchali,1955,Satyajit Ray,3.5,,,
2/10/21,The Lobster,2015,Yorgos Lanthimos,2,,,
2/15/21,The Wind Rises,2013,Hayao Miyazaki,2,,,
2/24/21,The Rules of the Game,1939,Jean Renoir,1.5,,,
2/26/21,Ocean Waves,1993,Tomomi Mochizuki,3,,,
3/1/21,1984,1984,Michael Radford,3.5,,,
3/5/21,Coherence,2013,James Ward Byrkit,3.5,,,
3/8/21,A Woman Under the Influence,1974,John Cassavetes,3.5,,,
3/16/21,Dredd,2012,Pete Travis,3,,,
3/22/21,Shutter Island,2010,Martin Scorsese,3,,,
3/22/21,Another Round,2020,Thomas Vinterberg,4,,,
3/22/21,Contact,1997,Robert Zemeckis,1.5,,,
3/23/21,Beasts of No Nation,2015,Cary Joji Fukunaga,4,,,
3/24/21,The Princess Bride,1987,Rob Reiner,2.5,,,
3/26/21,Nomadland,2020,Chloé Zhao,2.5,,,
3/30/21,Collateral,2004,Michael Mann,2,,,
4/1/21,La Strada,1954,Federico Fellini,3.5,,,
4/6/21,Captain Fantastic,2016,Matt Ross,2.5,,,
4/8/21,Edward Scissorhands,1990,Tim Burton,3,,,
4/10/21,Hoop Dreams,1994,Steve James,3.5,,,
4/13/21,Minari,2020,Lee Isaac Chung,3.5,,,
4/14/21,The Godfather Coda: The Death of Michael Corleone,1990,Francis Ford Coppola,3,,,
4/17/21,The Rocky Horror Picture Show,1975,Jim Sharman,2,,,
4/18/21,Paris is Burning,1990,Jennie Livingston,4,,,
4/19/21,A Hard Day's Night,1964,Richard Lester,1.5,,,
4/21/21,Amadeus,1984,Miloš Forman,3.5,,,
4/22/21,The Tale of the Princess Kaguya,2013,Isao Takahata,2,,,
4/27/21,Birds of Passage,2018,"Ciro Guerra, Cristina Gallego",2,,,
5/7/21,The Killing of a Chinese Bookie,1976,John Cassavetes,3,,,
5/11/21,The Searchers,1956,John Ford,1.5,,,
5/13/21,500 Days of Summer,2009,Marc Webb,3,,,
5/14/21,Belle de Jour,1967,Luis Buñuel,4,,,
5/15/21,The Hobbit: An Unexpected Journey,2012,Peter Jackson,1.5,,,
5/16/21,Happy Together,1997,Wong Kar-wai,3,,,
5/23/21,The Killing Fields,1984,Roland Joffé,3.5,,,
5/28/21,"Spring, Summer, Fall, Winter... and Spring",2004,Kim Ki-duk,3.5,,,
6/2/21,El Topo,1970,Alejandro Jodorowsky,2.5,,,
6/3/21,The Holy Mountain,1973,Alejandro Jodorowsky,3.5,,,
6/6/21,Lolita,1962,Stanley Kubrick,4,,,
6/11/21,The French Connection,1971,William Friedkin,3,,,
6/12/21,The Sound of Metal,2019,Darius Marder,3,,,
6/19/21,Indiana Jones and the Last Crusade,1989,Steven Spielberg,4,,,
