#   Phase              Relative Intensity
   -0.0089602871       1.0004920
   -0.0088402727      0.99926605
   -0.0087212796      0.99902522
   -0.0086013409       1.0006440
   -0.0084812887      0.99966746
   -0.0083610852       1.0000766
   -0.0082406547      0.99952586
   -0.0081204513       1.0012266
   -0.0080015716       1.0006502
   -0.0078815572       1.0006667
   -0.0077613159       1.0007994
   -0.0076411502       1.0000303
   -0.0075208711      0.99953147
   -0.0074018401      0.99937516
   -0.0072817123      0.99972022
   -0.0071615088      0.99915726
   -0.0070411162      0.99905399
   -0.0069220474      0.99921543
   -0.0068019952      0.99728395
   -0.0066820565      0.99643431
   -0.0065616639      0.99718554
   -0.0064413847      0.99772410
   -0.0063214460      0.99723622
   -0.0062023772      0.99664403
   -0.0060822494      0.99700799
   -0.0059620081      0.99563426
   -0.0058416911      0.99659753
   -0.0057215254      0.99569709
   -0.0056013976      0.99536632
   -0.0054826692      0.99594730
   -0.0053626170      0.99564033
   -0.0052423001      0.99546356
   -0.0051222100      0.99464961
   -0.0050022713      0.99488081
   -0.0048820678      0.99377407
   -0.0047622048      0.99355388
   -0.0046420013      0.99342974
   -0.0045230838      0.99376636
   -0.0044031072      0.99478057
   -0.0042830929      0.99349977
   -0.0041628894      0.99218964
   -0.0040414377      0.99317440
   -0.0039232767      0.99309078
   -0.0038033001      0.99379957
   -0.0036833614      0.99389951
   -0.0035633470      0.99261513
   -0.0034429544      0.99248532
   -0.0033225996      0.99341828
   -0.0032035687      0.99304800
   -0.0030835543      0.99321374
   -0.0029633508      0.99171577
   -0.0028431473      0.99317230
   -0.0027229438      0.99279813
   -0.0026038372      0.99416168
   -0.0024838228      0.99345533
   -0.0023635059      0.99297007
   -0.0022432646      0.99256285
   -0.0021231746      0.99324734
   -0.0020041058      0.99260180
   -0.0018840914      0.99262102
   -0.0017636610      0.99344231
   -0.0016429658      0.99319192
   -0.0015243130      0.99381043
   -0.0014044121      0.99240370
   -0.0012843599      0.99337789
   -0.0011640808      0.99280133
   -0.0010438773      0.99235579
  -0.00092352253      0.99356181
  -0.00080456722      0.99328576
  -0.00068459067      0.99334962
  -0.00056431153      0.99237020
  -0.00044399457      0.99441380
  -0.00032386672      0.99386288
  -0.00020487359      0.99232516
  -8.4783570e-05      0.99283846
   3.5419920e-05      0.99222914
   0.00015573688      0.99296155
   0.00027578908      0.99330517
   0.00039557651      0.99333002
   0.00051540177      0.99312427
   0.00063571873      0.99286081
   0.00075573310      0.99367778
   0.00087461277      0.99314954
   0.00099455149      0.99384106
    0.0011149441      0.99214804
    0.0012350341      0.99324605
    0.0013553889      0.99300650
    0.0014743442      0.99279289
    0.0015944342      0.99327721
    0.0017144486      0.99318840
    0.0018347277      0.99299023
    0.0019551204      0.99357001
    0.0020742270      0.99309028
    0.0021942035      0.99373994
    0.0023141422      0.99229531
    0.0024341566      0.99273528
    0.0025545114      0.99321116
    0.0026747149      0.99312545
    0.0027946914      0.99324449
    0.0029147058      0.99222001
    0.0030346824      0.99377275
    0.0031547346      0.99342949
    0.0032736899      0.99302528
    0.0033936286      0.99239464
    0.0035136808      0.99260981
    0.0036339978      0.99174314
    0.0037543147      0.99419711
    0.0038744047      0.99293188
    0.0039933979      0.99251453
    0.0041134501      0.99449748
    0.0042336157      0.99370859
    0.0043542353      0.99289071
    0.0044731906      0.99333012
    0.0045931293      0.99264673
    0.0047132950      0.99395366
    0.0048334607      0.99361581
    0.0049539289      0.99364850
    0.0050729220      0.99454415
    0.0051928608      0.99446997
    0.0053129130      0.99556530
    0.0054331543      0.99622624
    0.0055535469      0.99462572
    0.0056735234      0.99603824
    0.0057926301      0.99536390
    0.0059126444      0.99607999
    0.0060328479      0.99560682
    0.0061529758      0.99745908
    0.0062733305      0.99758021
    0.0063923237      0.99690544
    0.0065123759      0.99733255
    0.0066325794      0.99711605
    0.0067528207      0.99744281
    0.0068730242      0.99690555
