Orbit Semi-Major Axis,Planet Radius,Planet Mass,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Luminosity,Distance
2.01,,,,4137,49,2.8,3.17,1539.71
1.3,,,,4296,17.3,0.8,1.96,1322.51
,2.578,22.2481,,5766,1.08,1.67,,179.461
,2.355,,,5703,0.96,0.96,,179.461
0.241,2.23,16.3,546,5766,0.93,0.96,-0.056,179.461
,2.355,,,5703,0.96,,,179.461
1,,,,4414,11,0.74,1.69,871.493
1.7,,,,4534,10.33,1.09,1.64,666.589
4.2,,,,4943,7.6,1.52,1.47,442.042
0.0428,,,,4324,,0.7,-1.022,20.2695
0.435,,,,4324,,0.7,-1.022,20.2695
0.06,,,,4816,0.71,0.5,,41.3342
0.056,,,,4746,,0.74,,41.3342
0.68,,,,4746,,0.74,,41.3342
0.046,,,,5400,,1.1,,84.4069
0.04,,,,5393,0.91,1.47,,84.4069
0.0452,,,,5393,,1.01,,84.4069
2.36,,,,4550,0.64,0.65,-0.804,27.1665
2.28,,,,4475,0.52,0.57,,27.1665
0.3,,,,4550,0.64,0.65,-0.804,27.1665
1.66,,,,4545,19.17,2.12,,925.214
2.1,,,,,,2.4,,925.214
1.34,,,,4665,0.74,0.31,,34.4603
1.34,,,,4714,0.69,0.74,-0.678,34.4603
2.6,,3337.1,370,580.5,,0.02,,
210,,3994.486,,,,0.35,,190.374
,,3686.828,,,,0.9,-0.108,157.998
440,24.66,5403,2600,,,,,190.72
0.02536,17.385,327.3649,1915,5950,1.13,0.95,,787.909
0.0259,15.917,340.0781,1834,5950,,,,787.909
0.0261,16.589,359.1479,,5950,1.14,1.03,,787.909
,16.7,327.35,1898,5950,1.11,0.95,,787.909
0.02752,19.223,390.9309,,6298,1.23,1.22,,787.909
0.1055,10.87,874,600,5075,0.79,0.89,,338.386
0.106,10.548,883.5674,647,5075,0.74,0.9,,338.386
0.1055,10.873,867.6759,,5075,0.79,0.89,,338.386
0.0436,16.03,740.51,1657,6440,1.37,1.27,,655.037
0.04351,15.581,791.3967,1715,,1.33,1.23,,655.037
