Orbit Semi-Major Axis,Planet Radius,Planet Mass,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Luminosity,Distance
,,,,6019,1.74,1.11,0.552,1575.2
,,,,6019,1.74,1.11,0.552,1575.2
0.0905,1.43,,950,6224,1.08,1.09,,1575.2
,2.291,,,6255,1.68,,,1575.2
0.0905,1.43,,950,6224,1.08,1.09,,1575.2
0.0905,1.43,,950,6224,1.08,1.09,,1575.2
,1.55,,,6080,1.18,1.13,,1575.2
,,,,6019,1.74,1.11,0.552,1575.2
0.0914,1.47,,946,6249,1.08,1.13,,1575.2
,1.557,,,5388,0.85,,,634.906
,1.69,,,5446,0.86,0.9,,634.906
0.192,2.2,,559,5560,1,0.85,,634.906
,,,,5392.42,0.85,0.94,-0.256,634.906
0.1957,1.94,,563,5605,1.01,0.9,,634.906
0.1975,1.51,,486,5382,0.83,0.93,,634.906
0.1957,1.94,,563,5605,1.01,0.9,,634.906
,,,,5392.42,0.85,0.94,-0.256,634.906
0.1957,1.94,,563,5605,1.01,0.9,,634.906
,,,,5392.42,0.85,0.94,-0.256,634.906
0.0175,1.7,,1421,4949,0.74,0.71,,820.905
,1.659,,,4951,0.77,,,820.905
,1.71,,,4971,0.75,0.79,,820.905
0.019,2.07,,1429,4778,0.87,0.86,,820.905
,,,,4806,0.78,0.78,-0.536,820.905
,,,,4806,0.78,0.78,-0.536,820.905
0.0175,1.7,,1421,4949,0.74,0.71,,820.905
0.0175,1.6,,1419,4949,0.74,0.71,,820.905
0.0175,1.7,,1421,4949,0.74,0.71,,820.905
0.2663,2.13,,379,5162,0.74,0.82,,752.666
0.2661,2.21,,379,5167,0.74,0.81,,752.666
,,,,4934.58,0.74,0.81,-0.53,752.666
0.2661,2.21,,379,5167,0.74,0.81,,752.666
0.267,2.2,,371,5159,0.71,0.81,,752.666
0.2661,2.21,,379,5167,0.74,0.81,,752.666
,1.953,,,5165,0.68,,,752.666
,2.5,,,5157,0.82,0.87,,752.666
,,,,4934.58,0.74,0.81,-0.53,752.666
,,,,4934.58,0.74,0.81,-0.53,752.666
,0.94,,,6191,1.23,1.24,,522.823
0.067,1.04,,1153,6162,1.21,1.08,,522.823
,0.944,,,6028,1.22,,,522.823
0.0709,0.93,,1125,6213,1.2,1.27,,522.823
0.0681,0.99,,1123,5971,1.24,1.13,,522.823
0.0681,0.99,,1123,5971,1.24,1.13,,522.823
0.0681,0.99,,1123,5971,1.24,1.13,,522.823
,,,,5959.63,1.27,1.09,0.262,522.823
,,,,5959.63,1.27,1.09,0.262,522.823
0.1445,8.059,29.875,984,6150,1.61,1.13,,1455.57
0.1473,6.04,,808,6466,1.18,1.21,,1455.57
0.1431,7.39,,852,6163,1.41,1.1,,1455.57
,,,,6100.39,1.66,1.15,0.538,1455.57
,,,,6100.39,1.66,1.15,0.538,1455.57
,,,,6100.39,1.66,1.15,0.538,1455.57
0.1473,6.04,,808,6466,1.18,1.21,,1455.57
0.148,7.81,,,6169,1.47,,,1455.57
,8.504,,,6085,1.62,,,1455.57
0.1473,6.04,,808,6466,1.18,1.21,,1455.57
,6.65,,,6170,1.28,1.15,,1455.57
,,,,6100.39,1.66,1.15,0.538,1455.57
0.146,5.74,,792,6438,1.14,1.18,,1455.57
0.2858,9.16,,580,6466,1.18,1.21,,1455.57
0.2804,12.341,584.78,704,6150,1.61,1.13,,1455.57
0.287,11.3,,,6169,1.47,,,1455.57
0.2776,10.6,,612,6163,1.41,1.1,,1455.57
,9.94,,,6170,1.28,1.15,,1455.57
0.2858,9.16,,580,6466,1.18,1.21,,1455.57
,12.209,,,6085,1.62,,,1455.57
0.2858,9.16,,580,6466,1.18,1.21,,1455.57
0.284,8.75,,568,6438,1.14,1.18,,1455.57
,,,,6100.39,1.66,1.15,0.538,1455.57
,,,,6100.39,1.66,1.15,0.538,1455.57
,,,,6100.39,1.66,1.15,0.538,1455.57
0.088,2.4,,646,5065,0.74,0.91,,1050.45
,2.712,,,5262,0.89,,,1050.45
0.088,2.48,,705,5265,0.81,0.91,,1050.45
0.0882,2.6,,704,5256,0.81,0.91,,1050.45
0.0882,2.6,,704,5256,0.81,0.91,,1050.45
0.0882,2.6,,704,5256,0.81,0.91,,1050.45
,2.41,,,5069,0.76,0.8,,1050.45
,,,,5004,0.9,0.83,-0.338,1050.45
,,,,5004,0.9,0.83,-0.338,1050.45
,,,,5004,0.9,0.83,-0.338,1050.45
,,,,7014,1.84,1.54,0.869,573
0.03,3.1,,2745,7222,2.23,1.65,,573
0.0284,2.67,,2700,7216,2.04,1.46,,573
,,,,7014,1.84,1.54,0.869,573
0.0284,2.73,,2700,7216,2.04,1.46,,573
,2.395,,,7225,1.83,,,573
0.0284,2.73,,2700,7216,2.04,1.46,,573
,2.56,,,7044,1.95,1.58,,573
,,,,7014,1.84,1.54,0.869,573
0.0284,2.73,,2700,7216,2.04,1.46,,573
,,,,5743.43,0.84,1.03,-0.161,1306.53
0.1716,3.26,,586,5806,0.9,1,,1306.53
0.171,2.4,,475,5571,0.64,0.98,,1306.53
,,,,5743.43,0.84,1.03,-0.161,1306.53
,3.2,,,5558,0.89,0.92,,1306.53
,3.313,,,5626,0.91,,,1306.53
0.1716,3.26,,586,5806,0.9,1,,1306.53
0.1716,3.26,,586,5806,0.9,1,,1306.53
,,,,5743.43,0.84,1.03,-0.161,1306.53
0.168,4.53,,675,5624,1.24,0.93,,1306.53
0.0158,0.91,,1643,5178,0.82,0.88,,377.06
0.0158,0.91,,1643,5178,0.82,0.88,,377.06
0.0157,0.93,,1650,5173,0.82,0.87,,377.06
0.0158,0.91,,1643,5178,0.82,0.88,,377.06
0.015,0.84,,1585,5088,0.75,0.75,,377.06
,0.879,,,5076,0.78,,,377.06
,,,,5084.02,0.78,0.85,-0.435,377.06
,,,,5084.02,0.78,0.85,-0.435,377.06
,0.89,,,5252,0.82,0.86,,377.06
0.0712,1.4,,962,6046,0.93,1.01,,1408.75
0.0712,1.4,,962,6046,0.93,1.01,,1408.75
,2.614,,,5868,1.8,,,1408.75
0.0712,1.4,,962,6046,0.93,1.01,,1408.75
0.0732,2.13,,1156,5862,1.46,1.1,,1408.75
0.072,1.43,,974,6059,0.96,1.05,,1408.75
,1.59,,,5936,1.04,1.04,,1408.75
,,,,5939,1.79,1.08,0.555,1408.75
,,,,5939,1.79,1.08,0.555,1408.75
0.2183,3.01,,516,5870,0.87,0.96,,1121.89
0.2183,3.01,,516,5870,0.87,0.96,,1121.89
,,,,5473,0.75,0.96,-0.34,1121.89
,,,,5473,0.75,0.96,-0.34,1121.89
0.2183,3.01,,516,5870,0.87,0.96,,1121.89
,2.453,,,5865,0.76,,,1121.89
,2.99,,,5453,0.86,0.9,,1121.89
0.221,3.5,,520,5866,0.89,1,,1121.89
0.2181,2.79,,515,5861,0.86,0.96,,1121.89
,,,,5473,0.75,0.96,-0.34,1121.89
,2.45,,,5844,1.02,1.01,,864.699
0.1557,1.9,,552,5534,0.8,0.86,,864.699
0.1589,2.21,,595,5468,0.97,0.91,,864.699
0.1557,1.9,,552,5534,0.8,0.86,,864.699
,,,,5593.23,0.93,0.99,-0.117,864.699
0.158,1.85,,551,5540,0.8,0.91,,864.699
,,,,5593.23,0.93,0.99,-0.117,864.699
0.1557,1.9,,552,5534,0.8,0.86,,864.699
,2.068,,,5467,0.91,,,864.699
0.4383,1.99,,397,5968,1,0.99,,1299.97
,3.167,,,5674,1.54,,,1299.97
,,,,5643,1.55,1,0.342,1299.97
,1.9,,,5712,0.97,0.98,,1299.97
0.4383,1.99,,397,5968,1,0.99,,1299.97
,,,,5643,1.55,1,0.342,1299.97
0.4383,1.99,,397,5968,1,0.99,,1299.97
0.439,2.2,,397,5952,1,0.99,,1299.97
,,,,5643,1.55,1,0.342,1299.97
0.4301,2.01,,377,5679,0.97,0.94,,1299.97
0.1596,0.73,,378,4729,0.53,0.53,,482.287
,1.379,,,4734,1.15,,,482.287
0.1596,0.73,,378,4729,0.53,0.53,,482.287
,,,,5084.79,0.94,0.85,-0.277,482.287
,1.07,,,4990,0.75,0.8,,482.287
,,,,5084.79,0.94,0.85,-0.277,482.287
0.1596,0.63,,378,4729,0.53,0.53,,482.287
0.1596,0.73,,378,4729,0.53,0.53,,482.287
0.0346,1.46,,1137,5266,0.83,0.77,,415.205
0.0346,1.34,,1137,5266,0.83,0.77,,415.205
0.0346,1.34,,1137,5266,0.83,0.77,,415.205
0.035,1.26,,1129,5264,0.83,0.78,,415.205
,,,,5207,0.74,0.89,-0.444,415.205
0.0346,1.34,,1137,5266,0.83,0.77,,415.205
,1.307,,,5133,0.74,,,415.205
,,,,5207,0.74,0.89,-0.444,415.205
,1.32,,,5212,0.81,0.84,,415.205
0.0715,1.67,,861,5275,0.98,0.86,,574.228
,,,,5109,0.83,0.86,-0.377,574.228
0.0715,1.67,,861,5275,0.98,0.86,,574.228
,1.343,,,5057,0.82,,,574.228
0.0715,1.67,,861,5275,0.98,0.86,,574.228
0.073,1.96,,,5274,1.09,,,574.228
0.0701,1.42,,784,5064,0.86,0.81,,574.228
,,,,5109,0.83,0.86,-0.377,574.228
,1.41,,,5234,0.81,0.85,,574.228
0.069,1.3,,775,5181,0.79,0.77,,574.228
,5.899,,,5057,0.82,,,574.228
0.138,7.19,,619,5275,0.98,0.86,,574.228
0.141,7.68,,,5274,1.09,,,574.228
0.1353,6.24,,564,5064,0.86,0.81,,574.228
,,,,5109,0.83,0.86,-0.377,574.228
0.138,7.19,,619,5275,0.98,0.86,,574.228
,,,,5109,0.83,0.86,-0.377,574.228
,5.94,,,5234,0.81,0.85,,574.228
0.133,6.1,,558,5181,0.79,0.77,,574.228
0.138,7.19,,619,5275,0.98,0.86,,574.228
,,,,5109,0.83,0.86,-0.377,574.228
0.1246,1.67,,765,6205,0.97,0.91,,1596.8
,,,,6163,1.42,1.17,0.417,1596.8
0.1246,1.67,,765,6205,0.97,0.91,,1596.8
,,,,6163,1.42,1.17,0.417,1596.8
0.134,1.77,,780,6264,1.07,1.12,,1596.8
,1.99,,,6077,1.14,1.09,,1596.8
,2.516,,,6206,1.43,,,1596.8
,,,,6163,1.42,1.17,0.417,1596.8
0.1246,1.71,,765,6205,0.97,0.91,,1596.8
0.1246,1.67,,765,6205,0.97,0.91,,1596.8
,,,,6495.28,1.36,1.33,0.472,938.417
0.0621,1.6,,1374,6688,1.35,1.34,,938.417
,1.57,,,6176,1.3,1.17,,938.417
0.0621,1.57,,1358,6680,1.32,1.33,,938.417
0.0621,1.57,,1358,6680,1.32,1.33,,938.417
0.0621,1.57,,1358,6680,1.32,1.33,,938.417
,,,,6495.28,1.36,1.33,0.472,938.417
,1.59,,,6689,1.33,,,938.417
,,,,6495.28,1.36,1.33,0.472,938.417
0.061,1.41,,1264,6333,1.25,1.24,,938.417
,,,,5847,1.31,1.06,0.256,1545.39
,2.41,,,5924,1.05,1.04,,1545.39
,2.357,,,5924,1.31,,,1545.39
,,,,5847,1.31,1.06,0.256,1545.39
0.098,1.55,,790,5900,0.9,1.01,,1545.39
0.0981,2.05,,796,5911,0.91,1.01,,1545.39
0.0981,2.05,,796,5911,0.91,1.01,,1545.39
0.0981,2.05,,796,5911,0.91,1.01,,1545.39
0.0981,1.64,,796,5911,0.91,1.01,,1545.39
0.1793,2.43,,555,5712,0.87,0.94,,1919.19
,2.82,,,5765,0.99,1,,1919.19
0.1793,2.55,,555,5712,0.87,0.94,,1919.19
,4.222,,,5710,1.44,,,1919.19
,,,,5494,1.48,0.96,0.255,1919.19
,,,,5494,1.48,0.96,0.255,1919.19
,,,,5494,1.48,0.96,0.255,1919.19
0.1793,2.43,,555,5712,0.87,0.94,,1919.19
0.178,3,,556,5688,0.87,0.93,,1919.19
0.1793,2.43,,555,5712,0.87,0.94,,1919.19
,,,,5922,1.02,1.08,0.065,1157.84
0.2863,2.57,,529,6319,1.03,1.08,,1157.84
0.2863,2.57,,529,6319,1.03,1.08,,1157.84
0.291,2.8,,536,6322,1.08,1.14,,1157.84
0.2863,2.57,,529,6319,1.03,1.08,,1157.84
,,,,5922,1.02,1.08,0.065,1157.84
,2.68,,,5983,1.07,1.05,,1157.84
0.2863,2.49,,529,6319,1.03,1.08,,1157.84
,2.455,,,6319,1.02,,,1157.84
,,,,5922,1.02,1.08,0.065,1157.84
,,,,5867,1.34,1.06,0.282,459.273
,,,,5867,1.34,1.06,0.282,459.273
0.4425,1.44,,371,5754,0.94,1.06,,459.273
,2.187,,,5657,1.37,,,459.273
0.4425,1.44,,371,5754,0.94,1.06,,459.273
,1.33,,,5622,0.87,0.96,,459.273
0.4297,1.39,,355,5650,0.87,0.97,,459.273
,,,,5466.11,1.2,0.96,0.064,1337.25
,,,,5466.11,1.2,0.96,0.064,1337.25
0.1281,2.36,,723,5957,0.97,1.08,,1337.25
,2.438,,,5975,1.11,,,1337.25
0.1281,2.36,,723,5957,0.97,1.08,,1337.25
0.1281,2.36,,723,5957,0.97,1.08,,1337.25
,2.23,,,5635,0.93,0.95,,1337.25
0.1281,2.14,,724,5957,0.97,1.08,,1337.25
0.125,2.1,,703,5916,0.91,1.01,,1337.25
,,,,5882,1.13,1.07,0.136,1020.53
0.142,2.26,,707,6106,0.98,1.07,,1020.53
0.1401,2.33,,701,6103,0.95,1.03,,1020.53
,,,,5882,1.13,1.07,0.136,1020.53
0.1401,2.67,,701,6103,0.95,1.03,,1020.53
0.1401,2.33,,701,6103,0.95,1.03,,1020.53
,2.61,,,5975,1.09,1.06,,1020.53
,,,,5882,1.13,1.07,0.136,1020.53
,3.016,,,6105,1.07,,,1020.53
0.1401,2.33,,701,6103,0.95,1.03,,1020.53
0.1344,2.17,,781,6217,1.09,1.1,,1717.48
,2.08,,,5913,1.06,1.04,,1717.48
,,,,5908,1.51,1.07,0.398,1717.48
0.1344,2.17,,781,6217,1.09,1.1,,1717.48
,,,,5908,1.51,1.07,0.398,1717.48
,,,,5908,1.51,1.07,0.398,1717.48
0.1344,2.17,,781,6217,1.09,1.1,,1717.48
,2.855,,,6222,1.5,,,1717.48
0.135,2.05,,775,6218,1.08,1.11,,1717.48
0.134,2.3,,765,6195,1.05,1.09,,1717.48
0.049,1.79,,1276,5919,1.17,1.09,,782.852
0.049,1.79,,1276,5919,1.17,1.09,,782.852
,1.77,,,6012,1.16,1.11,,782.852
,,,,5572.03,1.12,0.98,0.041,782.852
,,,,5572.03,1.12,0.98,0.041,782.852
,1.265,,,5559,1.07,,,782.852
0.047,1.23,,1242,5817,1.1,0.94,,782.852
0.0467,1.23,,1158,5560,1.04,0.94,,782.852
0.049,1.79,,1276,5919,1.17,1.09,,782.852
,4.283,,,5595,1,,,701.996
,,,,5586,1.02,0.99,-0.037,701.996
0.035,3.6,,,5595,0.84,,,701.996
,,,,5586,1.02,0.99,-0.037,701.996
0.0344,3.55,,1213,5598,0.83,0.93,,701.996
0.034,3.62,,1201,5570,0.81,0.92,,701.996
,4.48,,,5825,1.03,1.01,,701.996
0.0343,3.6,,1214,5588,0.83,0.91,,701.996
,,,,5586,1.02,0.99,-0.037,701.996
0.0343,3.6,,1214,5588,0.83,0.91,,701.996
0.0343,3.6,,1214,5588,0.83,0.91,,701.996
0.049,0.92,,,5595,0.84,,,701.996
,1.12,,,5825,1.03,1.01,,701.996
,,,,5586,1.02,0.99,-0.037,701.996
0.0489,0.9,,1017,5588,0.83,0.91,,701.996
0.049,0.87,,1000,5570,0.81,0.92,,701.996
0.0489,0.9,,1017,5588,0.83,0.91,,701.996
0.0489,0.9,,1017,5588,0.83,0.91,,701.996
0.049,0.88,,1016,5598,0.83,0.93,,701.996
,1.067,,,5595,1,,,701.996
0.082,1.3,,581,4698,0.65,0.67,,342.509
,,,,4521.62,0.71,0.71,-0.727,342.509
0.0823,1.26,,601,4702,0.69,0.68,,342.509
,,,,4521.62,0.71,0.71,-0.727,342.509
,1.33,,,4730,0.72,0.76,,342.509
,1.089,,,4625,0.65,,,342.509
0.0845,1.25,,609,4641,0.75,0.73,,342.509
0.0823,1.26,,601,4702,0.69,0.68,,342.509
,,,,4521.62,0.71,0.71,-0.727,342.509
0.0823,1.26,,601,4702,0.69,0.68,,342.509
0.0587,1.73,,952,5288,0.98,0.86,,955.536
0.0597,1.52,,893,5477,0.81,0.91,,955.536
,1.612,,,5276,0.91,,,955.536
0.0597,1.52,,893,5477,0.81,0.91,,955.536
,,,,5336,0.9,0.92,-0.226,955.536
,1.51,,,5308,0.81,0.85,,955.536
,,,,5336,0.9,0.92,-0.226,955.536
0.059,1.38,,869,5432,0.78,0.88,,955.536
0.0597,1.52,,893,5477,0.81,0.91,,955.536
0.1693,2.42,,600,5831,0.92,1.02,,1304.19
,,,,5511,0.95,0.97,-0.128,1304.19
0.1693,2.57,,600,5831,0.92,1.02,,1304.19
,,,,5511,0.95,0.97,-0.128,1304.19
,,,,5511,0.95,0.97,-0.128,1304.19
,2.36,,,5438,0.83,0.86,,1304.19
0.1693,2.57,,600,5831,0.92,1.02,,1304.19
0.167,2.2,,583,5796,0.87,0.98,,1304.19
,2.569,,,5837,0.98,,,1304.19
0.1693,2.57,,600,5831,0.92,1.02,,1304.19
,1.521,,,5851,1.41,,,802.116
,1.32,,,5908,1.21,1.08,,802.116
,,,,5856.28,1.45,1.06,0.351,802.116
0.0397,1.13,,1375,6072,1.05,1.03,,802.116
,,,,5856.28,1.45,1.06,0.351,802.116
0.0397,1.13,,1375,6072,1.05,1.03,,802.116
0.04,1.35,,1362,6050,1.04,1.03,,802.116
0.0397,1.13,,1375,6072,1.05,1.03,,802.116
0.0403,1.37,,1453,5865,1.27,1.09,,802.116
,,,,5461.94,,,,757.382
0.121,1.84,,783,5851,1.11,0.9,,757.382
0.1212,1.51,,676,5547,0.93,0.9,,757.382
0.124,1.9,,786,5862,1.15,0.96,,757.382
,,,,5461.94,,,,757.382
0.121,1.84,,783,5851,1.11,0.9,,757.382
,,,,5461.94,,,,757.382
0.121,1.84,,783,5851,1.11,0.9,,757.382
,1.51,,,5590,0.92,0.94,,757.382
0.0726,2.11,,702,5093,0.71,0.71,,918.566
0.075,2.3,,715,5132,0.75,0.77,,918.566
0.0726,2.11,,702,5093,0.71,0.71,,918.566
,,,,5043,0.78,0.84,-0.446,918.566
,2.08,,,4965,0.71,0.74,,918.566
,2.505,,,5093,0.83,,,918.566
0.0726,2.11,,702,5093,0.71,0.71,,918.566
0.0726,2.14,,702,5093,0.71,0.71,,918.566
,,,,5043,0.78,0.84,-0.446,918.566
,,,,5720,0.96,1.02,-0.047,922.333
0.3146,2.01,,431,5893,0.87,0.95,,922.333
,2.667,,,5642,0.96,,,922.333
,,,,5720,0.96,1.02,-0.047,922.333
,2.23,,,5756,0.97,0.98,,922.333
0.321,2,,437,5900,0.9,1,,922.333
0.3146,2.01,,431,5893,0.87,0.95,,922.333
0.3146,2.01,,431,5893,0.87,0.95,,922.333
0.3179,2.72,,436,5640,0.98,0.98,,922.333
,,,,5720,0.96,1.02,-0.047,922.333
0.0271,1.15,,975,4555,0.64,0.65,,486.94
,,,,4552,0.75,0.72,-0.666,486.94
0.0271,1.15,,975,4555,0.64,0.65,,486.94
0.0283,1.12,,1011,4670,0.68,0.76,,486.94
,,,,4552,0.75,0.72,-0.666,486.94
,1.118,,,4762,0.68,,,486.94
0.0271,1.15,,975,4555,0.64,0.65,,486.94
0.027,1.13,,998,4661,0.64,0.66,,486.94
,1.25,,,4708,0.72,0.78,,486.94
0.0766,1.79,,941,5725,1.06,1.01,,743.03
0.0732,1.47,,830,5344,0.91,0.88,,743.03
,,,,5396,0.88,0.94,-0.232,743.03
0.073,1.8,,906,5620,0.97,0.88,,743.03
,,,,5396,0.88,0.94,-0.232,743.03
,1.47,,,5517,0.9,0.93,,743.03
,1.439,,,5346,0.89,,,743.03
0.0766,1.79,,941,5725,1.06,1.01,,743.03
0.0766,1.79,,941,5725,1.06,1.01,,743.03
0.1155,1.08,,791,5934,1.05,0.91,,563.493
,,,,5801.76,,,,563.493
0.1152,1.51,,931,5798,1.52,0.9,,563.493
,1.15,,,5889,1.17,0.94,,563.493
0.1155,1.08,,791,5934,1.05,0.91,,563.493
,,,,5801.76,,,,563.493
0.1155,1.08,,791,5934,1.05,0.91,,563.493
0.123,1.44,,858,6170,1.22,1.08,,563.493
,,,,5801.76,,,,563.493
0.0545,18.22,,1338,5953,1.42,1.09,,881.386
,17.13,,,6007,1.33,1.12,,881.386
0.05563,18.999,137.62039,,5950,1.48,1.17,,881.386
0.0556,18.999,136.979,,5947,1.48,1.17,,881.386
,,,,5967,1.57,1.09,0.449,881.386
0.056,17.6,,1314,6011,1.38,1.17,,881.386
0.0555,19.123,136.6669,1485,5947,1.49,1.16,,881.386
,,,,5967,1.57,1.09,0.449,881.386
0.0545,18.05,,1338,5953,1.42,1.09,,881.386
0.0545,18.22,,1338,5953,1.42,1.09,,881.386
,19.565,,,5926,1.53,,,881.386
0.0553,19.661,137.30256,1480,5947,1.48,1.17,,881.386
0.0545,18.22,,1338,5953,1.42,1.09,,881.386
,,,,5967,1.57,1.09,0.449,881.386
0.0561,2.06,,576,4096,0.57,0.59,,388.63
0.0561,2,,575,4090,0.57,0.59,,388.63
,,,,4519,0.75,0.71,-0.677,388.63
,,,,4519,0.75,0.71,-0.677,388.63
0.05611,2.05,,576,4096,0.57,0.59,,388.63
0.0561,2.06,,576,4096,0.57,0.59,,388.63
0.058,2.26,,639,4533,0.59,0.65,,388.63
,2.549,,,4096,0.73,,,388.63
,,,,4519,0.75,0.71,-0.677,388.63
,2.31,8.5,,,0.57,0.59,,388.63
,2.45,,,4641,0.68,0.72,,388.63
0.055,2.15,,,4096,0.53,,,388.63
0.0561,2.06,,576,4096,0.57,0.59,,388.63
,,,,4519,0.75,0.71,-0.677,388.63
0.0898,1.64,,455,4096,0.57,0.59,,388.63
0.093,1.85,,504,4533,0.59,0.65,,388.63
,2.038,,,4096,0.73,,,388.63
,,,,,0.57,0.59,,388.63
,,,,4519,0.75,0.71,-0.677,388.63
0.088,1.53,,,4096,0.53,,,388.63
0.08987,1.62,,455,4096,0.57,0.59,,388.63
,,,,4519,0.75,0.71,-0.677,388.63
,1.93,,,4641,0.68,0.72,,388.63
0.0899,1.6,,455,4090,0.57,0.59,,388.63
0.0898,1.64,,455,4096,0.57,0.59,,388.63
0.0898,1.64,,455,4096,0.57,0.59,,388.63
,,,,4436,0.77,0.69,-0.689,588.715
,1.074,,,4499,0.72,,,588.715
0.0189,1.05,,1182,4493,0.67,0.72,,588.715
,1.06,,,4612,0.7,0.74,,588.715
0.018,1.01,,1123,4450,0.59,0.62,,588.715
0.0189,1.05,,1182,4493,0.67,0.72,,588.715
0.0189,1.05,,1182,4493,0.67,0.72,,588.715
,,,,4436,0.77,0.69,-0.689,588.715
0.0188,0.98,,1174,4496,0.66,0.72,,588.715
,,,,5912,1,1.08,0.044,944.241
0.1183,1.92,,789,6136,1,0.96,,944.241
,2.29,,,6177,1.24,1.15,,944.241
0.1183,1.94,,789,6136,1,0.96,,944.241
,,,,5912,1,1.08,0.044,944.241
0.1183,1.92,,789,6136,1,0.96,,944.241
0.123,1.91,,805,6166,1.08,1.07,,944.241
,1.912,,,6136,0.99,,,944.241
,,,,5912,1,1.08,0.044,944.241
0.1183,1.92,,789,6136,1,0.96,,944.241
,2.94,,,5834,1.04,1.03,,1175.38
,,,,5609,0.91,0.99,-0.134,1175.38
0.1784,2.4,,546,5722,0.83,0.92,,1175.38
0.179,2.69,,547,5726,0.84,0.93,,1175.38
0.1784,2.4,,546,5722,0.83,0.92,,1175.38
0.1784,2.4,,546,5722,0.83,0.92,,1175.38
,,,,5609,0.91,0.99,-0.134,1175.38
0.181,2.52,,547,5723,0.85,0.95,,1175.38
,,,,5609,0.91,0.99,-0.134,1175.38
,2.856,,,5732,0.89,,,1175.38
,,,,4033,0.77,0.63,-0.854,317.022
0.0114,0.96,,1233,3972,0.56,0.57,,317.022
,1.06,,,4105,0.61,0.64,,317.022
0.0114,0.96,,1233,3972,0.56,0.57,,317.022
,1.216,,,3817,0.7,,,317.022
0.0114,0.96,,1233,3972,0.56,0.57,,317.022
,,,,4033,0.77,0.63,-0.854,317.022
0.011,1.01,,1262,4115,0.53,0.56,,317.022
0.0114,0.99,,1188,3814,0.57,0.58,,317.022
,3.05,,,5825,1.03,1.03,,1175.22
0.3877,3.14,,448,6096,1.08,1.05,,1175.22
,2.519,,,6098,0.92,,,1175.22
0.3877,3.14,,448,6096,1.08,1.05,,1175.22
,,,,5639,0.98,1,-0.058,1175.22
0.385,3,,445,6065,1.07,1.03,,1175.22
0.3877,3.14,,448,6096,1.08,1.05,,1175.22
,,,,5639,0.98,1,-0.058,1175.22
0.3877,2.94,,448,6096,1.08,1.05,,1175.22
,,,,5639,0.98,1,-0.058,1175.22
0.019,1.6,,1516,5242,0.82,0.78,,698.485
,,,,5025,0.82,0.84,-0.418,698.485
0.0196,1.98,,1667,5325,0.98,0.86,,698.485
,1.41,,,5226,0.81,0.84,,698.485
,,,,5025,0.82,0.84,-0.418,698.485
,1.491,,,5325,0.74,,,698.485
0.0196,1.75,,1665,5325,0.98,0.86,,698.485
0.0196,1.75,,1665,5325,0.98,0.86,,698.485
0.0196,1.75,,1665,5325,0.98,0.86,,698.485
0.02,1.45,,1237,4821,0.68,0.69,,762.019
0.0201,1.64,,1315,4859,0.76,0.73,,762.019
0.0201,1.64,,1315,4859,0.76,0.73,,762.019
0.0201,1.58,,1314,4859,0.76,0.73,,762.019
,,,,4656,0.75,0.74,-0.62,762.019
,1.64,,,4877,0.75,0.8,,762.019
,,,,4656,0.75,0.74,-0.62,762.019
0.0201,1.64,,1315,4859,0.76,0.73,,762.019
,1.436,,,4859,0.69,,,762.019
,1.62,,,5909,1.06,1.06,,1754.19
,,,,5838,2.04,1.05,0.638,1754.19
0.114,1.6,,775,6057,0.96,1.05,,1754.19
,2.718,,,6097,1.95,,,1754.19
0.1156,1.53,,802,6102,1.03,1.1,,1754.19
0.1156,1.43,,802,6102,1.03,1.1,,1754.19
,,,,5838,2.04,1.05,0.638,1754.19
0.1156,1.53,,802,6102,1.03,1.1,,1754.19
0.1156,1.53,,802,6102,1.03,1.1,,1754.19
0.0901,2.42,,665,5080,0.79,0.79,,825.176
0.093,2.6,,648,4897,0.84,0.89,,825.176
0.0901,2.42,,665,5080,0.79,0.79,,825.176
,2.32,,,5001,0.76,0.8,,825.176
0.0901,2.42,,665,5080,0.79,0.79,,825.176
0.0901,2.5,,665,5080,0.79,0.79,,825.176
,,,,4862,0.75,0.79,-0.553,825.176
,2.256,,,5083,0.71,,,825.176
,,,,4862,0.75,0.79,-0.553,825.176
,,,,6293,1.25,1.23,0.343,505.531
0.176,1.31,,735,6326,1.22,1.14,,505.531
0.1801,1.48,,775,6344,1.38,1.21,,505.531
0.1801,1.48,,775,6344,1.38,1.21,,505.531
,,,,6293,1.25,1.23,0.343,505.531
,,,,6293,1.25,1.23,0.343,505.531
0.1801,1.48,,775,6344,1.38,1.21,,505.531
,1.51,,,6210,1.38,1.23,,505.531
,1.503,,,6150,1.26,,,505.531
0.18,1.67,,755,6126,1.41,1.21,,505.531
0.0389,2.47,,1008,5316,0.72,0.77,,510.523
0.0389,2.47,,1008,5316,0.72,0.77,,510.523
,,,,5318,0.68,0.92,-0.474,510.523
,,,,5318,0.68,0.92,-0.474,510.523
,,,,5318,0.68,0.92,-0.474,510.523
,2.78,,,5354,0.82,0.86,,510.523
,2.56,,,5311,0.69,,,510.523
0.0389,2.47,,1008,5316,0.72,0.77,,510.523
0.039,2.34,,,5311,0.7,,,510.523
0.039,2.65,,997,5303,0.71,0.79,,510.523
0.04,2.84,,1025,5350,0.75,0.86,,510.523
0.221,2.56,,436,5350,0.75,0.86,,510.523
